,Model,Male AUC,Female AUC,AUC
0,vit_base_patch16_224_0.75,0.9812161922454834,0.9866068363189697,0.9830283522605896
1,vit_base_patch16_224_1.0,0.9728341698646545,0.9695315361022949,0.9715455770492554
2,xception_0.25,0.9794706702232361,0.9777362942695618,0.9853377342224121
3,vit_base_patch16_224_0.25,0.9875273108482361,0.9786921739578247,0.9865199327468872
4,inception_v3_1.0,0.9400316476821899,0.943670928478241,0.9444751739501953
5,xception_1.0,0.9488691687583923,0.959404468536377,0.9511364698410034
6,vit_base_patch16_224_0.0,0.9769828915596008,0.9693695306777954,0.9725989103317261
7,xception_0.75,0.9825352430343628,0.9726667404174805,0.982999861240387
8,xception_0.0,0.9642062187194824,0.9608438611030579,0.965427815914154
9,inception_v3_0.75,0.9817954301834106,0.9846027493476868,0.985639214515686
10,inception_v3_0.25,0.9855213165283203,0.971376895904541,0.9853417277336121
11,inception_v3_0.0,0.974821150302887,0.9726947546005249,0.9772177934646606
