,Model,Male AUC,Female AUC,AUC
0,inception_resnet_v2_0.25,0.9822354912757874,0.9861196875572205,0.987883448600769
1,inception_resnet_v2_0.75,0.9678851962089539,0.985525906085968,0.9833129048347473
2,xception_0.25,0.9907770752906799,0.9917234182357788,0.9930396676063538
3,densenet121_0.25,0.9779870510101318,0.9688122868537903,0.9808212518692017
4,xception_1.0,0.965216875076294,0.9862562417984009,0.9798330664634705
5,xception_0.75,0.9768984317779541,0.9893695712089539,0.981525182723999
6,densenet121_0.0,0.9848247170448303,0.9645525813102722,0.9780782461166382
7,inception_resnet_v2_1.0,0.9494418501853943,0.9798162579536438,0.9713650345802307
8,xception_0.0,0.9747227430343628,0.9689921736717224,0.9741934537887573
9,inception_resnet_v2_0.0,0.9782643914222717,0.9602957963943481,0.9734969139099121
10,densenet121_0.75,0.9787778854370117,0.9844099283218384,0.9859933853149414
11,densenet121_1.0,0.9508485794067383,0.9788767099380493,0.9728278517723083
