,Model,Male AUC,Female AUC,AUC
0,densenet121_0.25,0.9830277562141418,0.9618356227874756,0.9819009900093079
1,xception_1.0,0.9694724082946777,0.9649606347084045,0.969464898109436
2,densenet121_0.75,0.981579601764679,0.9563822150230408,0.9710785150527954
3,densenet121_1.0,0.9729828834533691,0.9607016444206238,0.9683975577354431
4,mobilenetv2_100_0.0,0.9795697331428528,0.9568794965744019,0.9766959547996521
5,densenet121_0.0,0.9813028573989868,0.9531856179237366,0.9743266105651855
6,mobilenetv2_100_1.0,0.955130398273468,0.9656909704208374,0.9634697437286377
7,mobilenetv2_100_0.25,0.9839524030685425,0.9702730178833008,0.9825734496116638
8,mobilenetv2_100_0.75,0.9822520017623901,0.9709815979003906,0.9777659773826599
9,xception_0.0,0.9807925224304199,0.9614526033401489,0.9786873459815979
10,xception_0.25,0.9777722358703613,0.9563663005828857,0.9716054201126099
11,xception_0.75,0.980435848236084,0.9747199416160583,0.9772998690605164
