Generated using PyEER 0.5.5
Experiment ID,GMean,GSTD,IMean,ISTD,Sensitivity index (d'),AUC,J-Index,J-Index_TH,MCC,MCC_TH,EERlow,EERhigh,EER,ZeroFMR,FMR1000,FMR100,FMR20,FMR10,ZeroFNMR,EER_TH,ZeroFMR_TH,FMR1000_TH,FMR100_TH,FMR20_TH,FMR10_TH,ZeroFNMR_TH
densenet121_male_0.25,0.92909396,0.08511744,0.57407594,0.125573,3.3095850001416984,0.9830277663889557,0.8975447159924677,0.789277195930481,0.7963972059684549,0.886704683303833,0.05240666442437056,0.052406934788348146,0.052406799606359356,0.9998679926075861,0.5483587080876529,0.15818885857608025,0.05350699639179794,0.0330018481034938,0.9915313280799539,0.7781370282173157,1.1182520389556885,0.9574943780899048,0.8618428707122803,0.7807093858718872,0.7381276488304138,0.28731289505958557
densenet121_female_0.25,0.9309995,0.08974311,0.637786,0.13195968,2.5984154237650565,0.9618356391407539,0.8195307409906616,0.8241977691650391,0.6746005818629638,0.9065892696380615,0.09112661205288344,0.0911572564685336,0.09114193426070852,0.9998377808419174,0.9289885635493552,0.3966663963014032,0.14697055722280802,0.08407007867629167,0.9941608758278213,0.8153387308120728,1.2274315357208252,1.020851731300354,0.9332433938980103,0.8546062707901001,0.808508038520813,0.3068051338195801
densenet121_all_0.25,0.93846595,0.084889814,0.5785137,0.13035528,3.2723758231760858,0.9819009308762836,0.8911088747683588,0.7967843413352966,0.7690664168271818,0.9056416749954224,0.05509660681368198,0.05510731204663168,0.05510195943015683,0.9997269065337612,0.5548235133474432,0.1607837782481054,0.05912473544070458,0.03529733051136751,0.9849744430350044,0.7895677089691162,1.2093536853790283,0.9671739935874939,0.8806063532829285,0.7956470251083374,0.748810350894928,0.3068051338195801
xception_male_1.0,0.9186942,0.09498596,0.6107719,0.12408405,2.7867022745567835,0.9694723790499499,0.8357665878126384,0.7912956476211548,0.662197966808866,0.8992972373962402,0.08254852969440707,0.08254862272287249,0.08254857620863978,0.9999559975358621,0.8479714864032386,0.3474434568335827,0.12641907946845024,0.06798380709319722,0.9990660436286758,0.7860724329948425,1.2227351665496826,0.9999887943267822,0.9040254950523376,0.8192554712295532,0.7721521854400635,0.24577093124389648
xception_female_1.0,0.90624934,0.10634608,0.5744914,0.12833522,2.814976568114867,0.9649606321501826,0.8355367113276675,0.7651532888412476,0.7070158635072812,0.8706148862838745,0.08277232541163111,0.08278009229978252,0.08277620885570681,0.9994727877362316,0.7888717657555357,0.33417146565009326,0.12381377240652121,0.07036255981831455,0.9963949222878268,0.7574795484542847,1.1609249114990234,0.9856767654418945,0.887764036655426,0.794548511505127,0.7422351837158203,0.2500418424606323
xception_all_1.0,0.9226668,0.10342706,0.5784593,0.13095519,2.9170952598814224,0.9694649231045186,0.8532478559966095,0.7942116260528564,0.6954830417259508,0.906341552734375,0.07448624291663822,0.07449778778366871,0.07449201535015346,0.9996244964839216,0.714822147880112,0.2521335427049908,0.09763091418037824,0.06083156960469721,0.9962574264833413,0.7720437049865723,1.1589367389678955,0.9819107055664062,0.8885865211486816,0.7992332577705383,0.7499900460243225,0.24577093124389648
densenet121_male_0.75,0.9348062,0.07887888,0.5892879,0.13459611,3.1321587006347857,0.9815796098759652,0.8802649808854413,0.8015724420547485,0.7227122397468123,0.8977935314178467,0.0601073660124967,0.06013657985777436,0.060121972935135534,1.0,0.9444688902578544,0.2560063363548359,0.07212003872216845,0.0345859368124615,0.9833464467614838,0.7993597984313965,1.2169809341430664,1.0230703353881836,0.9023106694221497,0.8113716840744019,0.7638063430786133,0.31322401762008667
densenet121_female_0.75,0.9261179,0.11162983,0.6116237,0.13091359,2.585144438020488,0.9563822282155698,0.8485640958621237,0.8167084455490112,0.7258729782402068,0.9002524614334106,0.07749998979887461,0.0775002027739476,0.07750009628641111,0.9987022467353395,0.8701841187444237,0.31421850920593725,0.10398248033092708,0.06517154675967232,0.9994185358528753,0.8041257262229919,1.1246806383132935,1.0065932273864746,0.91853928565979,0.8327827453613281,0.7855114936828613,0.20838674902915955
densenet121_all_0.75,0.93631655,0.10263617,0.5761242,0.13624479,2.9862535582834577,0.971078503772244,0.8892124363111256,0.8144673705101013,0.7448576032318104,0.9113961458206177,0.057451309135552235,0.057452037959991806,0.05745167354777202,0.9999658633167201,0.7865091827678022,0.18310916911312897,0.06226531030245101,0.042568444049976104,0.9973422796880792,0.7943593263626099,1.3066462278366089,0.9964381456375122,0.8918553590774536,0.8034051060676575,0.7548266649246216,0.20838674902915955
densenet121_male_1.0,0.9190402,0.08424858,0.6070581,0.1276518,2.8847190692566156,0.9729828581420642,0.8424196595125606,0.7972321510314941,0.691913931146989,0.9021375179290771,0.07898387949260043,0.07898442312769514,0.07898415131014778,0.9999559975358621,0.6949749185954414,0.30344099269559094,0.11990671477602746,0.06085540790284256,0.9941620219104362,0.7960195541381836,1.1066558361053467,0.9697664380073547,0.8986227512359619,0.8237814903259277,0.7796788215637207,0.32153329253196716
