,Model,Male Acc,Female Acc,Avg Acc,MCC
0,xception_samsung,0.8381817936897278,0.7452041506767273,0.7986619472503662,0.5864183306694031
1,efficientnet_b4_iphone,0.7360000014305115,0.8076733946800232,0.7664645910263062,0.5375560522079468
2,resnet50_iphone,0.652363657951355,0.8455484509468079,0.7344762682914734,0.4957818388938904
3,inception_v3_iphone,0.754909098148346,0.7206099629402161,0.7403303384780884,0.47278857231140137
4,mobilenetv2_100_oppo,0.7752727270126343,0.7329070568084717,0.7572653293609619,0.5060055255889893
5,xception_oppo,0.8538181781768799,0.7619282007217407,0.8147606253623962,0.6193864941596985
6,vit_base_patch16_224_oppo,0.758545458316803,0.7973438501358032,0.7750365734100342,0.5501536130905151
7,efficientnet_b4_oppo,0.8894545435905457,0.7924249768257141,0.8482124209403992,0.687968909740448
8,vit_base_patch16_224_iphone,0.492000013589859,0.8819478750228882,0.6577461957931519,0.39223191142082214
9,mobilenetv2_100_samsung,0.609818160533905,0.8662075996398926,0.7187957167625427,0.47891637682914734
10,efficientnet_b0_iphone,0.8159999847412109,0.7279881834983826,0.7785908579826355,0.5457436442375183
11,efficientnet_b0_samsung,0.8490909337997437,0.7422528266906738,0.8036797046661377,0.5961635708808899
12,densenet121_samsung,0.6763636469841003,0.8435809016227722,0.7474388480186462,0.5161301493644714
13,resnet50_oppo,0.7498182058334351,0.8199704885482788,0.7796362042427063,0.5634159445762634
14,inception_resnet_v2_samsung,0.3556363582611084,0.9611411690711975,0.6130043864250183,0.3774248957633972
15,mobilenetv2_100_iphone,0.6981818079948425,0.8165273070335388,0.748484194278717,0.5093253254890442
16,efficientnet_b4_samsung,0.7589091062545776,0.7820954322814941,0.7687643766403198,0.5357906818389893
17,inception_v3_samsung,0.7203636169433594,0.8032464385032654,0.7555927038192749,0.5176984667778015
18,vit_base_patch16_224_samsung,0.5443636178970337,0.9055582880973816,0.6978883743286133,0.46536877751350403
19,xception_iphone,0.7352727055549622,0.8027545213699341,0.7639556527137756,0.5319939255714417
20,inception_v3_oppo,0.7876363396644592,0.7432366013526917,0.7687643766403198,0.5289554595947266
21,densenet121_oppo,0.8792726993560791,0.7225774526596069,0.8126698732376099,0.6140627264976501
22,densenet121_iphone,0.8007272481918335,0.737825870513916,0.7739912271499634,0.5380467176437378
23,inception_resnet_v2_iphone,0.8810908794403076,0.6571568846702576,0.7859084010124207,0.5587195754051208
24,efficientnet_b0_oppo,0.7276363372802734,0.8519429564476013,0.7804725170135498,0.5734320878982544
25,inception_resnet_v2_oppo,0.8810908794403076,0.7333989143371582,0.8183148503303528,0.6258070468902588
26,resnet50_samsung,0.5134545564651489,0.9350713491439819,0.6926615238189697,0.47423481941223145
