,Model,Male AUC,Female AUC,AUC
0,xception_samsung,0.951487123966217,0.9136479496955872,0.9393260478973389
1,efficientnet_b4_iphone,0.9289190769195557,0.9233593940734863,0.9213496446609497
2,resnet50_iphone,0.9529868960380554,0.9411700963973999,0.9519819021224976
3,inception_v3_iphone,0.923033595085144,0.9039928317070007,0.9343578815460205
4,mobilenetv2_100_oppo,0.9759305119514465,0.9551471471786499,0.9727180600166321
5,xception_oppo,0.9807276725769043,0.9463878870010376,0.9762479662895203
6,vit_base_patch16_224_oppo,0.9698489308357239,0.9392644166946411,0.9680604338645935
7,efficientnet_b4_oppo,0.9717103242874146,0.9552097320556641,0.9699229001998901
8,vit_base_patch16_224_iphone,0.9594863057136536,0.9366461038589478,0.9624704122543335
9,mobilenetv2_100_samsung,0.9449833631515503,0.9290884733200073,0.9359012246131897
10,efficientnet_b0_iphone,0.9460868835449219,0.9268127083778381,0.9317626953125
11,efficientnet_b0_samsung,0.9465689659118652,0.9174845218658447,0.9367607831954956
12,densenet121_samsung,0.948860764503479,0.9116497039794922,0.9310546517372131
13,resnet50_oppo,0.9690127372741699,0.9563278555870056,0.9712892770767212
14,inception_resnet_v2_samsung,0.9475427865982056,0.9253076314926147,0.9394084215164185
15,mobilenetv2_100_iphone,0.9413273930549622,0.927535891532898,0.9368797540664673
16,efficientnet_b4_samsung,0.9327449202537537,0.9270212650299072,0.9251822233200073
17,inception_v3_samsung,0.9197865724563599,0.894802987575531,0.919971227645874
18,vit_base_patch16_224_samsung,0.9310241937637329,0.9036036133766174,0.9409027099609375
19,xception_iphone,0.9520215392112732,0.9318718910217285,0.9464611411094666
20,inception_v3_oppo,0.9616625308990479,0.9498411417007446,0.9695857167243958
21,densenet121_oppo,0.9785935878753662,0.9688977003097534,0.9799671769142151
22,densenet121_iphone,0.9641444087028503,0.9356256723403931,0.9527307152748108
23,inception_resnet_v2_iphone,0.9514175653457642,0.9349915385246277,0.9561219811439514
24,efficientnet_b0_oppo,0.9690248370170593,0.9605039954185486,0.9730614423751831
25,inception_resnet_v2_oppo,0.9630813002586365,0.9530524015426636,0.9636143445968628
26,resnet50_samsung,0.9491316676139832,0.9286254644393921,0.9445200562477112
