,Model,Male Acc,Female Acc,Avg Acc,MCC
0,inception_v3_dim,0.6240000128746033,0.7648794651031494,0.6838803887367249,0.38580313324928284
1,vit_base_patch16_224_day,0.803636372089386,0.7211018204689026,0.7685552835464478,0.5256834626197815
2,xception_office,0.7934545278549194,0.805213987827301,0.7984528541564941,0.593711793422699
3,inception_v3_office,0.851272702217102,0.737825870513916,0.8030524849891663,0.5946710705757141
4,inception_resnet_v2_dim,0.4865454435348511,0.9021151065826416,0.6631820797920227,0.4114284813404083
5,mobilenetv2_100_day,0.9338181614875793,0.5322183966636658,0.7631193995475769,0.522482693195343
6,mobilenetv2_100_office,0.8029090762138367,0.7840629816055298,0.7948985695838928,0.5836801528930664
7,efficientnet_b4_day,0.8461818099021912,0.7432366013526917,0.8024252653121948,0.5937235951423645
8,inception_v3_day,0.6716363430023193,0.8027545213699341,0.7273677587509155,0.46987712383270264
9,resnet50_office,0.9490908980369568,0.5873094201087952,0.795316755771637,0.591288685798645
10,efficientnet_b4_dim,0.7421818375587463,0.7697983384132385,0.7539201378822327,0.5068070292472839
11,mobilenetv2_100_dim,0.6992727518081665,0.8007870316505432,0.7424210906028748,0.49458351731300354
12,resnet50_day,0.8858181834220886,0.6458435654640198,0.783817708492279,0.5547640323638916
13,efficientnet_b4_office,0.7112727165222168,0.8593211770057678,0.7742003202438354,0.565251886844635
14,densenet121_day,0.6774545311927795,0.8307919502258301,0.742630124092102,0.5040056109428406
15,densenet121_office,0.7763636112213135,0.8116084337234497,0.7913443446159363,0.582143247127533
16,vit_base_patch16_224_office,0.6636363863945007,0.8484997749328613,0.7422119975090027,0.5093333125114441
17,xception_day,0.8505454659461975,0.7442203760147095,0.8053522706031799,0.5996135473251343
18,vit_base_patch16_224_dim,0.614545464515686,0.8214461207389832,0.7024880051612854,0.43544909358024597
19,xception_dim,0.8043636083602905,0.7584850192070007,0.7848630547523499,0.5612702369689941
20,efficientnet_b0_day,0.8934545516967773,0.644859790802002,0.7877901196479797,0.5636682510375977
21,inception_resnet_v2_day,0.8334545493125916,0.7132316827774048,0.7823541760444641,0.5519059896469116
22,efficientnet_b0_office,0.843999981880188,0.7619282007217407,0.8091155886650085,0.6082423329353333
23,resnet50_dim,0.5058181881904602,0.9109690189361572,0.6780263185501099,0.4386347532272339
24,inception_resnet_v2_office,0.9163636565208435,0.6645351648330688,0.8093246817588806,0.6104623675346375
25,densenet121_dim,0.8850908875465393,0.5405804514884949,0.7386577725410461,0.46104714274406433
26,efficientnet_b0_dim,0.7614545226097107,0.7570093274116516,0.7595651149749756,0.5143446922302246
