Unnamed: 0,Model,TPR001,TPR01,TPR1,TPR5
0,efficientnet_b0,0.1284,0.6745,0.9242,1.0000
1,xception,0.2917,0.7919,0.9543,1.0000
2,inception_v3,0.6419,0.7960,0.9688,1.0000
3,efficientnet_b4,0.0738,0.6820,0.9578,0.9965
4,mobilenetv2_100,0.0151,0.4368,0.9138,0.9955
5,densenet121,0.1651,0.7322,0.9554,0.9939
6,vit_base_patch16_224,0.5758,0.8186,0.9368,0.9969
7,inception_resnet_v2,0.0161,0.4103,0.9168,1.0000
8,resnet50,0.0000,0.0008,0.8549,0.9912
0,efficientnet_b0,0.0281,0.5815,0.9227,0.9978
1,xception,0.0204,0.6851,0.9068,0.9796
2,inception_v3,0.4719,0.7440,0.9435,1.0000
3,efficientnet_b4,0.0004,0.6947,0.9458,0.9996
4,mobilenetv2_100,0.0000,0.3685,0.9448,0.9969
5,densenet121,0.0059,0.2185,0.9319,0.9998
6,vit_base_patch16_224,0.6741,0.8007,0.9250,0.9996
7,inception_resnet_v2,0.0000,0.5799,0.9291,0.9996
8,resnet50,0.0092,0.0520,0.7016,0.9790
