Model,Train Balance,FN,TP,TN,FP,F50M50,M100,F100
DenseNet121,F50M50,7,902,877,74,0.956451613,0.99229923,0.922187171
DenseNet121,F25M75,67,842,811,140,0.888709677,0.926292629,0.85278654
DenseNet121,F75M25,65,844,892,59,0.933333333,0.928492849,0.937960042
EfficientNetB0,F50M50,32,877,891,60,0.950537634,0.96479648,0.936908517
EfficientNetB0,F25M75,33,876,774,177,0.887096774,0.96369637,0.813880126
EfficientNetB0,F75M25,110,799,883,68,0.904301075,0.878987899,0.92849632
EfficientNetB4,F50M50,27,882,898,53,0.956989247,0.97029703,0.94426919
EfficientNetB4,F25M75,6,903,827,124,0.930107527,0.99339934,0.869610936
EfficientNetB4,F75M25,59,850,907,44,0.944623656,0.935093509,0.953732913
InceptionResNetV2,F50M50,72,837,868,83,0.916666667,0.920792079,0.912723449
InceptionResNetV2,F25M75,57,852,867,84,0.924193548,0.937293729,0.911671924
InceptionResNetV2,F75M25,75,834,882,69,0.922580645,0.917491749,0.927444795
InceptionV3,F50M50,54,855,901,50,0.944086022,0.940594059,0.947423764
InceptionV3,F25M75,44,865,802,149,0.896236559,0.95159516,0.843322818
InceptionV3,F75M25,67,842,846,105,0.907526882,0.926292629,0.889589905
MobileNetV2,F50M50,81,828,897,54,0.927419355,0.910891089,0.943217666
MobileNetV2,F25M75,22,887,749,202,0.879569892,0.97579758,0.787592008
MobileNetV2,F75M25,131,778,890,61,0.896774194,0.855885589,0.935856993
ResNet50,F50M50,62,847,930,21,0.955376344,0.931793179,0.977917981
ResNet50,F25M75,53,856,869,82,0.927419355,0.941694169,0.913774974
ResNet50,F75M25,38,871,906,45,0.955376344,0.95819582,0.952681388
Xception,F50M50,27,882,893,58,0.954301075,0.97029703,0.939011567
Xception,F25M75,40,869,841,110,0.919354839,0.9559956,0.884332282
Xception,F75M25,18,891,859,92,0.940860215,0.98019802,0.903259727
