,Experiment ID,AUC,EER,ZeroFMR,FMR10,FMR20,FMR100,FMR1000,Train Balance,Test Balance
0,DenseNet121,0.98594046,0.0562,0.9118,0.0246,0.064,0.3324,0.7522,F100,F100
1,DenseNet121,0.98848464,0.044,0.9354,0.0104,0.0364,0.2784,0.8738,F50M50,F100
2,DenseNet121,0.97879688,0.0592,0.9972,0.0212,0.073,0.5622,0.982,M100,F100
3,EfficientNetB0,0.9867698,0.049,0.774,0.0084,0.0472,0.4238,0.6728,F100,F100
4,EfficientNetB0,0.98776288,0.0404999999999999,0.9056,0.0052,0.0246,0.482,0.7738,F50M50,F100
5,EfficientNetB0,0.98056064,0.0519,0.9722,0.0134,0.0546,0.6968,0.9532,M100,F100
6,EfficientNetB4,0.98671096,0.0526,0.7786,0.018,0.0554,0.3628,0.6344,F100,F100
7,EfficientNetB4,0.99028678,0.0409,0.8826,0.0048,0.0292,0.3656,0.7278,F50M50,F100
8,EfficientNetB4,0.97190952,0.0724,0.956,0.038,0.112,0.6592,0.8604,M100,F100
9,InceptionResNetV2,0.98106688,0.064,0.9896,0.0306,0.091,0.4046,0.9662,F100,F100
10,InceptionResNetV2,0.98467908,0.0464,0.9748,0.011,0.0428,0.5526,0.9224,F50M50,F100
11,InceptionResNetV2,0.97974124,0.0566,0.9968,0.0276,0.07,0.599,0.958,M100,F100
12,InceptionV3,0.98048688,0.0686,0.835,0.0346,0.1116,0.4048,0.6846,F100,F100
13,InceptionV3,0.98321428,0.0502,0.945,0.0156,0.0504,0.521,0.9004,F50M50,F100
14,InceptionV3,0.97108052,0.0782,0.9978,0.0538,0.141,0.7912,0.99,M100,F100
15,MobileNetV2,0.9799449600000002,0.0656,0.9086,0.0326,0.0972,0.5078,0.8174,F100,F100
16,MobileNetV2,0.98312936,0.051,0.992,0.0144,0.0514,0.598,0.9558,F50M50,F100
17,MobileNetV2,0.97560896,0.0746,0.968,0.0472,0.1194,0.5378,0.9306,M100,F100
18,ResNet50,0.988539,0.0496,0.97,0.0174,0.0492,0.2618,0.802,F100,F100
19,ResNet50,0.98889148,0.038,0.9332,0.0048,0.023,0.4226,0.9152,F50M50,F100
20,ResNet50,0.98064376,0.06,0.9528,0.0208,0.089,0.509,0.9324,M100,F100
21,VGG19,0.98843548,0.0438999999999999,0.9254,0.0048,0.0348,0.3876,0.8166,F100,F100
22,VGG19,0.9890203199999998,0.0389,0.973,0.0074,0.024,0.3288,0.9434,F50M50,F100
23,VGG19,0.98163392,0.0468,0.9962,0.008,0.0406,0.7578,0.9814,M100,F100
24,Xception,0.98447352,0.0612,0.616,0.0274,0.0816,0.3572,0.5376,F100,F100
25,Xception,0.98667826,0.0396,0.9528,0.0052,0.026,0.5482,0.8992,F50M50,F100
26,Xception,0.9736344,0.074,0.906,0.0524,0.1048,0.593,0.8682,M100,F100
