,Model,Male AUC,Female AUC,AUC
0,vit_base_patch16_224_0.75,0.9926565885543823,0.9917769432067871,0.9924472570419312
1,vit_base_patch16_224_1.0,0.9850800037384033,0.9904577732086182,0.9864624738693237
2,xception_0.25,0.9912223219871521,0.9961867332458496,0.9905859231948853
3,vit_base_patch16_224_0.25,0.9966750741004944,0.9913122057914734,0.9965537786483765
4,densenet121_0.25,0.9903836846351624,0.985752522945404,0.9896936416625977
5,xception_1.0,0.9673445224761963,0.97776859998703,0.9709206819534302
6,vit_base_patch16_224_0.0,0.9926408529281616,0.986871600151062,0.9907569885253906
7,xception_0.75,0.9844719171524048,0.994215726852417,0.9872130751609802
8,densenet121_0.0,0.980541467666626,0.9609944820404053,0.969947099685669
9,xception_0.0,0.9823765158653259,0.9788033962249756,0.9803345203399658
10,densenet121_0.75,0.9835572242736816,0.9899195432662964,0.9827218055725098
11,densenet121_1.0,0.9668568968772888,0.9808193445205688,0.973686933517456
