,Model,Male AUC,Female AUC,AUC
0,inception_v3_dim,0.867194414138794,0.8347812294960022,0.9070075750350952
1,vit_base_patch16_224_day,0.9056368470191956,0.8553391098976135,0.9388236999511719
2,xception_office,0.9549064040184021,0.9375967979431152,0.9678942561149597
3,inception_v3_office,0.89443039894104,0.868733286857605,0.9155207276344299
4,inception_resnet_v2_dim,0.8917362093925476,0.8559877872467041,0.9258272647857666
5,mobilenetv2_100_day,0.8654983043670654,0.8355554938316345,0.8946876525878906
6,mobilenetv2_100_office,0.916530966758728,0.9122107028961182,0.9520879983901978
7,efficientnet_b4_day,0.8617479801177979,0.8304443359375,0.8946702480316162
8,inception_v3_day,0.8965755701065063,0.8457939624786377,0.9157010316848755
9,resnet50_office,0.936569333076477,0.9128329753875732,0.9564816951751709
10,efficientnet_b4_dim,0.8760390281677246,0.8457118272781372,0.9085347652435303
11,mobilenetv2_100_dim,0.8745279312133789,0.8561844825744629,0.9104466438293457
12,resnet50_day,0.8731626868247986,0.8336113095283508,0.9135926961898804
13,efficientnet_b4_office,0.9215734601020813,0.9195940494537354,0.9537444114685059
14,densenet121_day,0.8646742105484009,0.8410693407058716,0.9050434827804565
15,densenet121_office,0.9376504421234131,0.9136278033256531,0.9613381624221802
16,vit_base_patch16_224_office,0.9319801330566406,0.8958430290222168,0.9523580074310303
17,xception_day,0.8937468528747559,0.8662061095237732,0.9125807881355286
18,vit_base_patch16_224_dim,0.9047394394874573,0.8640397787094116,0.9376429319381714
19,xception_dim,0.8774233460426331,0.8302912712097168,0.9120846390724182
20,efficientnet_b0_day,0.8761687278747559,0.8428118824958801,0.8998985886573792
21,inception_resnet_v2_day,0.8710846900939941,0.8242062330245972,0.9129944443702698
22,efficientnet_b0_office,0.9195343255996704,0.9017753601074219,0.947738528251648
23,resnet50_dim,0.8883447051048279,0.8472132086753845,0.9204492568969727
24,inception_resnet_v2_office,0.9262039065361023,0.9062954187393188,0.945833146572113
25,densenet121_dim,0.8773740530014038,0.8452059030532837,0.9115251898765564
26,efficientnet_b0_dim,0.8557281494140625,0.8357946872711182,0.8970786333084106
