Model,Train Balance,FN,TP,TN,FP,F50M50,M100,F100
DenseNet121,F50M50,364,5306,5140,410,0.931016043,0.935802469,0.926126126
DenseNet121,F25M75,228,5442,5064,486,0.936363636,0.95978836,0.912432432
DenseNet121,F75M25,806,4864,5266,284,0.90285205,0.857848325,0.948828829
EfficientNetB0,F50M50,374,5296,5042,508,0.921390374,0.934038801,0.908468468
EfficientNetB0,F25M75,188,5482,4916,634,0.926737968,0.966843034,0.885765766
EfficientNetB0,F75M25,674,4996,5280,270,0.915864528,0.881128748,0.951351351
EfficientNetB4,F50M50,350,5320,5174,376,0.935294118,0.938271605,0.932252252
EfficientNetB4,F25M75,128,5542,5152,398,0.95311943,0.977425044,0.928288288
EfficientNetB4,F75M25,638,5032,5348,202,0.92513369,0.887477954,0.963603604
InceptionResNetV2,F50M50,306,5364,5260,290,0.94688057,0.946031746,0.947747748
InceptionResNetV2,F25M75,218,5452,5072,478,0.937967914,0.961552028,0.913873874
InceptionResNetV2,F75M25,790,4880,5216,334,0.899821747,0.860670194,0.93981982
InceptionV3,F50M50,496,5174,5058,492,0.911942959,0.912522046,0.911351351
InceptionV3,F25M75,182,5488,4860,690,0.92228164,0.967901235,0.875675676
InceptionV3,F75M25,762,4908,5196,354,0.900534759,0.865608466,0.936216216
MobileNetV2,F50M50,378,5292,5072,478,0.923707665,0.933333333,0.913873874
MobileNetV2,F25M75,274,5396,4716,834,0.901247772,0.951675485,0.84972973
MobileNetV2,F75M25,928,4742,5358,192,0.900178253,0.83633157,0.965405405
ResNet50,F50M50,264,5406,5226,324,0.947593583,0.953439153,0.941621622
ResNet50,F25M75,198,5472,5122,428,0.944206774,0.965079365,0.922882883
ResNet50,F75M25,758,4912,5300,250,0.910160428,0.866313933,0.954954955
Xception,F50M50,540,5130,5066,484,0.908734403,0.904761905,0.912792793
Xception,F25M75,174,5496,4728,822,0.911229947,0.969312169,0.851891892
Xception,F75M25,966,4704,5202,348,0.882887701,0.82962963,0.937297297
