,Experiment ID,AUC,EER,ZeroFMR,FMR10,FMR20,FMR100,FMR1000,Train Balance,Test Balance
0,DenseNet121,0.9872108,0.0544,0.6142,0.02,0.0642,0.2742,0.5432,F100,F100
1,DenseNet121,0.98616576,0.0618,0.8052,0.0276,0.0838,0.2264,0.4632,F25M75,F100
2,DenseNet121,0.98968816,0.05,0.6914,0.0136,0.0498,0.2222,0.6688,F50M50,F100
3,DenseNet121,0.98641512,0.0562,0.8264,0.023,0.0624,0.3096,0.5934,F75M25,F100
4,DenseNet121,0.9802328,0.0714,0.8316,0.038,0.1092,0.3518,0.6852,M100,F100
5,EfficientNetB0,0.98786356,0.0548,0.7664,0.0186,0.0592,0.2712,0.6554,F100,F100
6,EfficientNetB0,0.9872466,0.057,0.6654,0.02,0.0668,0.2722,0.5468,F25M75,F100
7,EfficientNetB0,0.99034836,0.0494,0.7574,0.0144,0.049,0.219,0.5582,F50M50,F100
8,EfficientNetB0,0.99082952,0.045,0.7824,0.0108,0.0396,0.2222,0.6048,F75M25,F100
9,EfficientNetB0,0.98248256,0.0666,0.838,0.0388,0.0896,0.3382,0.6082,M100,F100
10,EfficientNetB4,0.98583536,0.0558,0.7454,0.0212,0.0644,0.3284,0.6224,F100,F100
11,EfficientNetB4,0.98841368,0.0506,0.9442,0.019,0.0524,0.2616,0.563,F25M75,F100
12,EfficientNetB4,0.99049068,0.0468,0.797,0.0108,0.0424,0.2338,0.5172,F50M50,F100
13,EfficientNetB4,0.98881248,0.0516,0.7376,0.0178,0.054,0.243,0.5114,F75M25,F100
14,EfficientNetB4,0.98250754,0.0714,0.777,0.0418,0.1072,0.2958,0.5922,M100,F100
15,InceptionResNetV2,0.98419992,0.064,0.8916,0.0316,0.0886,0.2906,0.65,F100,F100
16,InceptionResNetV2,0.98728236,0.0564,0.7098,0.0268,0.0692,0.236,0.5168,F25M75,F100
17,InceptionResNetV2,0.98919272,0.0504,0.7924,0.0184,0.051,0.2206,0.632,F50M50,F100
18,InceptionResNetV2,0.98680392,0.0534,0.8398,0.0204,0.0594,0.2758,0.6804,F75M25,F100
19,InceptionResNetV2,0.97939994,0.0726,0.696,0.0476,0.111,0.3842,0.61,M100,F100
20,InceptionV3,0.97468032,0.0832,0.8908,0.06,0.1462,0.4148,0.7582,F100,F100
21,InceptionV3,0.98223398,0.0656,0.9238,0.036,0.0892,0.3416,0.6606,F25M75,F100
22,InceptionV3,0.98707436,0.0564,0.801,0.025,0.0686,0.2716,0.5242,F50M50,F100
23,InceptionV3,0.98014468,0.0684,0.8438,0.0422,0.1058,0.3822,0.6356,F75M25,F100
24,InceptionV3,0.97657536,0.0794,0.893,0.0558,0.1398,0.393,0.7218,M100,F100
25,MobileNetV2,0.97779666,0.0758,0.955,0.0488,0.1252,0.3938,0.7996,F100,F100
26,MobileNetV2,0.9813766,0.0654,0.8524,0.0366,0.0976,0.394,0.7736,F25M75,F100
27,MobileNetV2,0.9859744,0.0572,0.7976,0.0222,0.0658,0.3138,0.7166,F50M50,F100
28,MobileNetV2,0.98349096,0.06,0.8116,0.031,0.0792,0.3466,0.6858,F75M25,F100
29,MobileNetV2,0.97717312,0.0768,0.8012,0.0516,0.1378,0.431,0.6842,M100,F100
30,ResNet50,0.98124684,0.0686,0.8914,0.0374,0.1086,0.381,0.713,F100,F100
31,ResNet50,0.9890022,0.052,0.8432,0.0176,0.0532,0.226,0.5526,F25M75,F100
32,ResNet50,0.98862416,0.051,0.7746,0.015,0.0524,0.2722,0.5406,F50M50,F100
33,ResNet50,0.9860104,0.0584,0.7284,0.0184,0.0688,0.3432,0.6844,F75M25,F100
34,ResNet50,0.98176356,0.0654,0.8276,0.0352,0.0952,0.3588,0.7394,M100,F100
35,VGG19,0.98521092,0.0626,0.8226,0.0326,0.0794,0.2822,0.5658,F100,F100
36,VGG19,0.98118888,0.0716,0.7894,0.0396,0.1028,0.3442,0.67,F25M75,F100
37,VGG19,0.98461672,0.0588,0.924,0.0254,0.074,0.343,0.6548,F50M50,F100
38,VGG19,0.97637166,0.0758,0.8802,0.0548,0.1366,0.4338,0.7392,F75M25,F100
39,VGG19,0.97181924,0.0866,0.9566,0.0678,0.1746,0.438,0.8524,M100,F100
40,Xception,0.97302408,0.0846,0.8592,0.0702,0.161,0.4402,0.7878,F100,F100
41,Xception,0.9777986,0.0772,0.8756,0.0528,0.1276,0.3946,0.6218,F25M75,F100
42,Xception,0.98438788,0.0598,0.9082,0.0282,0.0756,0.3092,0.7976,F50M50,F100
43,Xception,0.97677102,0.079,0.821,0.0556,0.1412,0.4194,0.6906,F75M25,F100
44,Xception,0.97176404,0.0848,0.8266,0.0716,0.1664,0.4428,0.7874,M100,F100
45,DenseNet121,0.9765172,0.0766,0.919,0.0504,0.1416,0.41,0.7078,F100,M100
46,DenseNet121,0.98469328,0.0632,0.862,0.0304,0.0818,0.286,0.6598,F25M75,M100
47,DenseNet121,0.98637406,0.0548,0.94,0.0166,0.0608,0.319,0.696,F50M50,M100
48,DenseNet121,0.9752443,0.0814,0.8836,0.0594,0.1494,0.4686,0.7728,F75M25,M100
49,DenseNet121,0.98256328,0.065,0.8776,0.0358,0.0994,0.3348,0.6768,M100,M100
50,EfficientNetB0,0.97831916,0.0782,0.7792,0.0564,0.1274,0.3818,0.6984,F100,M100
51,EfficientNetB0,0.9867349,0.0568,0.8252,0.02,0.0658,0.2846,0.6946,F25M75,M100
52,EfficientNetB0,0.98880228,0.052,0.8192,0.0162,0.0554,0.2152,0.6458,F50M50,M100
53,EfficientNetB0,0.98402584,0.0682,0.8332,0.0312,0.1028,0.3092,0.666,F75M25,M100
54,EfficientNetB0,0.98504418,0.0608,0.7382,0.0286,0.075,0.2954,0.6262,M100,M100
